2019-05-04 00:48:12,352 DEBUG:__main__:Start pplot module
2019-05-04 00:48:12,735 DEBUG:__main__:Created figure 1, num 1
2019-05-04 00:48:12,789 DEBUG:__main__:Created figure 2, num 2
2019-05-04 00:48:12,868 DEBUG:__main__:Created figure 3, num 3
2019-05-04 00:48:12,999 DEBUG:__main__:Created figure 4, num 4
2019-05-04 00:48:13,837 DEBUG:__main__:Created figure 5, num 5
2019-05-04 00:48:14,261 DEBUG:__main__:Created figure 6, num 6
2019-05-04 00:48:14,648 DEBUG:__main__:Created figure 7, num 7
2019-05-04 00:48:15,021 DEBUG:__main__:Created figure 8, num 8
2019-05-04 00:48:15,392 DEBUG:__main__:Created figure 9, num 9
2019-05-04 00:48:16,360 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 01:13:01,578 DEBUG:__main__:Start pplot module
2019-05-04 01:13:02,008 DEBUG:__main__:Created figure 1, num 1
2019-05-04 01:13:02,066 DEBUG:__main__:Created figure 2, num 2
2019-05-04 01:13:02,148 DEBUG:__main__:Created figure 3, num 3
2019-05-04 01:13:02,281 DEBUG:__main__:Created figure 4, num 4
2019-05-04 01:13:03,112 DEBUG:__main__:Created figure 5, num 5
2019-05-04 01:13:03,526 DEBUG:__main__:Created figure 6, num 6
2019-05-04 01:13:03,911 DEBUG:__main__:Created figure 7, num 7
2019-05-04 01:13:04,276 DEBUG:__main__:Created figure 8, num 8
2019-05-04 01:13:04,642 DEBUG:__main__:Created figure 9, num 9
2019-05-04 01:13:05,578 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 01:13:24,206 DEBUG:__main__:Start pplot module
2019-05-04 01:13:24,582 DEBUG:__main__:Created figure 1, num 1
2019-05-04 01:13:24,635 DEBUG:__main__:Created figure 2, num 2
2019-05-04 01:13:24,713 DEBUG:__main__:Created figure 3, num 3
2019-05-04 01:13:24,845 DEBUG:__main__:Created figure 4, num 4
2019-05-04 01:13:25,687 DEBUG:__main__:Created figure 5, num 5
2019-05-04 01:13:26,107 DEBUG:__main__:Created figure 6, num 6
2019-05-04 01:13:26,493 DEBUG:__main__:Created figure 7, num 7
2019-05-04 01:13:26,865 DEBUG:__main__:Created figure 8, num 8
2019-05-04 01:13:27,240 DEBUG:__main__:Created figure 9, num 9
2019-05-04 01:13:28,202 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 01:14:19,120 DEBUG:__main__:Start pplot module
2019-05-04 01:14:19,522 DEBUG:__main__:Created figure 1, num 1
2019-05-04 01:14:19,577 DEBUG:__main__:Created figure 2, num 2
2019-05-04 01:14:19,658 DEBUG:__main__:Created figure 3, num 3
2019-05-04 01:14:19,790 DEBUG:__main__:Created figure 4, num 4
2019-05-04 01:14:20,663 DEBUG:__main__:Created figure 5, num 5
2019-05-04 01:14:21,107 DEBUG:__main__:Created figure 6, num 6
2019-05-04 01:14:21,510 DEBUG:__main__:Created figure 7, num 7
2019-05-04 01:14:21,881 DEBUG:__main__:Created figure 8, num 8
2019-05-04 01:14:22,260 DEBUG:__main__:Created figure 9, num 9
2019-05-04 01:14:23,312 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 01:15:33,827 DEBUG:__main__:Start pplot module
2019-05-04 01:15:34,215 DEBUG:__main__:Created figure 1, num 1
2019-05-04 01:15:34,270 DEBUG:__main__:Created figure 2, num 2
2019-05-04 01:15:34,349 DEBUG:__main__:Created figure 3, num 3
2019-05-04 01:15:34,483 DEBUG:__main__:Created figure 4, num 4
2019-05-04 01:15:35,329 DEBUG:__main__:Created figure 5, num 5
2019-05-04 01:15:35,775 DEBUG:__main__:Created figure 6, num 6
2019-05-04 01:15:36,176 DEBUG:__main__:Created figure 7, num 7
2019-05-04 01:15:36,550 DEBUG:__main__:Created figure 8, num 8
2019-05-04 01:15:36,924 DEBUG:__main__:Created figure 9, num 9
2019-05-04 01:15:37,892 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 01:16:06,636 DEBUG:__main__:Start pplot module
2019-05-04 01:16:07,022 DEBUG:__main__:Created figure 1, num 1
2019-05-04 01:16:11,321 DEBUG:__main__:Created figure 2, num 2
2019-05-04 01:16:11,400 DEBUG:__main__:Created figure 3, num 3
2019-05-04 01:16:11,531 DEBUG:__main__:Created figure 4, num 4
2019-05-04 01:16:12,381 DEBUG:__main__:Created figure 5, num 5
2019-05-04 01:16:12,801 DEBUG:__main__:Created figure 6, num 6
2019-05-04 01:16:13,191 DEBUG:__main__:Created figure 7, num 7
2019-05-04 01:16:13,562 DEBUG:__main__:Created figure 8, num 8
2019-05-04 01:16:13,934 DEBUG:__main__:Created figure 9, num 9
2019-05-04 01:16:14,898 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:01:30,897 DEBUG:__main__:Start pplot module
2019-05-04 02:01:31,537 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:01:31,591 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:01:31,669 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:01:31,800 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:01:32,639 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:01:33,055 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:01:33,444 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:01:33,812 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:01:34,179 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:01:35,118 DEBUG:__main__:Created figure Applesauce, num 10
2019-05-04 02:02:02,724 DEBUG:__main__:Start pplot module
2019-05-04 02:02:03,287 DEBUG:__main__:Created figure 1, num 1
2019-05-04 02:02:03,358 DEBUG:__main__:Created figure 2, num 2
2019-05-04 02:02:03,498 DEBUG:__main__:Created figure 3, num 3
2019-05-04 02:02:03,754 DEBUG:__main__:Created figure 4, num 4
2019-05-04 02:02:05,775 DEBUG:__main__:Created figure 5, num 5
2019-05-04 02:02:06,663 DEBUG:__main__:Created figure 6, num 6
2019-05-04 02:02:07,558 DEBUG:__main__:Created figure 7, num 7
2019-05-04 02:02:08,451 DEBUG:__main__:Created figure 8, num 8
2019-05-04 02:02:09,303 DEBUG:__main__:Created figure 9, num 9
2019-05-04 02:02:11,466 DEBUG:__main__:Created figure Applesauce, num 10
